team;event;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR 1;eOPR2
2220;Iowa;-0.01;-0.15;-0.57;0.50;-0.28;-0.08;0.09;0.47;;0.40;0.40;0.43;;0.03;0.40;0.82;0.47;0.42;-0.01;0.54;-0.16;0.54;0.05;0.28;7.04;0.17;8.38;-1.51;11.93;5.30;1.35;4.12;1.17;0.90;4.12;23.09;1.90;26.97;22.92
2221;Bayou;0.01;0.02;-0.33;0.38;0.17;-0.04;0.14;0.25;;0.44;0.40;0.64;;0.20;0.71;3.54;0.40;0.68;0.22;0.57;0.24;0.55;-0.09;0.03;6.31;0.41;5.66;0.25;11.96;7.84;1.23;3.02;-0.13;0.60;2.93;21.20;2.13;27.08;23.02
2224;MIAnnArborSkyline;0.00;-0.14;0.58;-0.27;-0.03;-0.02;0.24;0.77;;0.69;0.06;0.29;;0.63;0.10;;0.83;0.22;0.37;0.43;0.73;-0.45;0.19;-0.11;0.45;0.97;0.85;-1.37;15.09;12.60;-0.22;1.59;1.11;0.39;-2.83;12.71;2.61;19.13;16.91
2224;MILivonia;0.00;0.06;-0.42;-0.23;-0.69;-0.04;-0.13;0.63;;0.26;-0.26;0.70;;0.04;0.76;0.67;0.14;0.20;0.05;0.67;0.66;0.18;0.11;0.01;2.56;0.47;1.45;0.65;7.28;7.72;-1.99;2.65;-1.10;0.46;0.93;10.77;1.69;12.82;7.16
2225;MinnesotaNorthStar;0.00;0.09;0.59;0.41;1.14;0.07;0.56;0.74;;0.84;-0.44;0.86;;0.15;0.73;;0.77;0.87;0.20;0.73;-0.18;0.02;-0.05;0.16;9.67;0.47;8.29;0.91;21.05;12.41;3.23;5.56;-0.15;1.10;0.89;31.61;3.31;43.47;44.38
2227;LakeSuperior;-0.03;-0.01;0.47;0.60;1.07;0.01;0.13;0.54;;-0.10;0.14;;;0.46;0.14;;0.41;0.43;0.19;0.30;0.49;0.08;-0.05;0.11;7.24;-0.31;7.84;-0.28;10.53;5.42;3.92;1.76;-0.57;0.31;0.99;18.77;1.87;26.78;21.60
2228;FingerLakes;-0.04;0.04;0.82;0.62;1.57;0.12;0.25;0.68;;0.65;0.38;0.54;;0.26;0.64;;0.64;0.60;0.06;0.66;-0.13;-0.18;-0.13;-0.05;7.52;0.80;6.50;0.22;18.33;9.99;4.72;4.25;-0.63;0.81;-1.15;24.69;2.65;36.22;32.68
2228;TorontoEast;0.06;0.05;0.34;0.32;0.82;0.04;0.23;0.63;;0.64;0.23;0.58;0.59;-0.26;1.01;0.53;0.51;0.58;-0.22;0.78;-0.12;0.53;-0.05;-0.07;1.67;1.11;-0.21;0.76;18.45;11.51;2.30;0.59;4.05;0.39;2.30;22.33;2.28;30.61;27.98
2230;Israel;0.00;0.12;0.39;3.15;3.61;-0.04;0.47;0.70;;0.61;0.89;0.70;-0.21;-0.37;0.86;;0.66;0.89;-0.06;0.84;-0.37;0.00;0.05;-0.11;7.79;0.18;6.44;1.17;32.39;11.93;16.55;3.46;0.45;0.72;-0.57;39.61;3.03;58.47;47.84
2231;Israel;0.00;0.03;0.98;0.18;1.12;-0.04;0.00;0.72;;0.14;0.96;0.75;-0.07;0.26;0.51;;-0.07;0.72;0.54;0.57;0.39;-0.38;0.07;0.44;5.55;0.70;4.51;0.34;15.45;10.14;2.85;1.17;1.29;0.32;0.28;21.28;2.48;30.98;20.20
2232;Minnesota10000Lakes;-0.06;-0.10;2.36;-0.09;2.13;0.15;0.15;0.48;;0.09;0.44;1.14;;0.77;0.53;-38.75;0.08;0.72;0.44;0.57;0.14;0.42;-0.01;0.00;2.66;0.27;3.64;-1.26;19.24;9.64;4.27;3.59;1.74;0.83;2.13;24.03;2.29;36.41;30.87
2234;MARSpringsideChestnutHill;0.00;-0.02;0.95;-0.56;0.23;0.08;0.29;0.47;;0.63;0.75;0.64;1.48;1.00;0.68;0.67;0.72;0.75;1.10;0.69;-0.14;0.57;0.14;-0.07;8.96;0.13;9.06;-0.23;16.57;14.14;-0.92;3.13;0.22;0.64;2.49;28.02;3.73;38.06;35.81
2234;WindsorEssex;0.00;-0.14;0.30;-0.03;0.19;-0.12;0.38;0.68;;1.21;-8.44;0.52;;0.24;0.61;;1.14;0.40;0.29;0.74;-0.30;-0.12;-0.05;0.14;8.89;-0.16;10.42;-1.37;14.64;11.05;0.45;4.86;-1.73;0.86;0.11;23.64;3.25;32.35;28.29
2234;MARHatboroHorsham;-0.01;0.00;0.05;-0.16;-0.23;0.00;0.32;0.67;0.64;0.21;0.80;0.94;0.09;0.36;0.58;0.80;0.54;0.87;0.33;0.46;-0.11;-0.06;0.12;-0.04;10.51;0.54;10.01;-0.04;12.57;9.35;-0.69;2.86;1.05;0.64;-0.52;22.56;2.87;29.02;28.94
2239;MinnesotaNorthStar;0.00;0.16;1.06;-0.50;0.74;0.02;-0.02;0.75;;0.11;0.30;0.61;;0.43;0.61;;0.28;0.48;0.16;0.71;-0.11;-0.03;-0.02;0.01;8.28;0.09;6.64;1.56;10.21;8.67;-0.37;4.29;-2.39;0.70;-0.13;18.36;2.40;26.65;18.33
2240;Colorado;0.03;-0.05;1.69;0.74;2.40;0.31;0.37;0.79;1.26;0.71;1.09;0.72;;-0.16;0.77;0.96;0.79;0.78;-0.10;0.76;0.11;0.77;0.02;-0.06;7.99;-0.18;8.48;-0.32;22.98;10.81;7.08;3.92;1.16;0.86;3.58;34.54;3.01;49.56;49.69
2246;MITraverseCity;0.00;0.01;0.35;0.44;0.76;0.04;0.31;0.70;0.42;0.81;0.70;0.64;0.01;0.55;0.56;;0.38;0.70;0.38;0.61;0.53;0.09;0.04;0.02;9.41;0.14;9.15;0.12;16.56;9.28;2.88;2.90;1.49;0.68;0.53;26.50;2.77;35.81;33.81
2246;MILakeSuperiorStateUniversity;-0.01;-0.03;0.22;-0.40;-0.31;-0.11;-0.17;0.57;-0.38;-0.04;0.91;0.72;-0.56;-0.10;0.10;1.04;-0.04;0.83;-0.33;0.26;0.47;0.40;0.09;-0.04;5.37;-0.06;5.79;-0.35;0.72;3.56;-1.56;-0.27;-1.02;-0.12;1.80;7.88;1.29;10.16;1.78
2252;Buckeye;0.00;0.08;-0.01;3.54;3.48;-0.11;0.34;0.45;;1.12;0.41;0.91;0.68;-0.48;0.57;1.20;0.68;0.68;-0.13;0.56;0.06;0.28;0.13;0.44;10.57;-0.18;9.95;0.79;27.84;6.31;17.69;4.11;-0.27;0.80;3.57;41.97;2.26;58.48;45.95
2252;Palmetto;0.02;-0.02;0.13;1.75;1.92;0.00;0.34;0.64;0.78;1.00;0.70;;4.75;-0.18;1.31;2.33;0.88;0.90;0.12;1.21;-0.09;-0.18;-0.04;-0.05;6.81;0.74;6.13;-0.06;30.95;15.68;9.01;5.76;0.50;1.19;-1.13;36.63;3.75;52.00;43.39
2259;Colorado;0.01;-0.07;0.21;0.20;0.44;-0.05;0.19;0.78;0.41;0.14;0.52;0.63;;-0.04;0.60;0.48;0.27;0.39;0.09;0.59;-0.24;-0.07;-0.09;-0.11;5.67;0.23;6.05;-0.61;12.00;7.60;1.40;3.14;-0.14;0.62;-0.94;16.73;2.12;23.40;19.35
2261;Colorado;0.06;-0.01;0.39;-0.21;0.16;-0.05;0.14;0.63;-0.25;0.64;0.90;0.44;;0.77;0.64;0.58;0.29;0.58;0.80;0.74;0.17;-0.30;0.07;-0.01;1.48;-0.66;1.96;0.18;20.15;14.23;-0.26;5.83;0.34;1.19;-1.56;20.07;3.04;28.17;21.45
2262;NEBoston;0.16;-0.03;2.19;0.34;2.70;0.05;0.40;0.68;;0.79;;0.54;;0.01;0.68;0.67;0.84;0.65;-0.12;0.69;0.12;0.85;-0.04;0.21;5.43;0.83;4.09;0.51;21.58;11.65;6.09;3.19;0.66;0.68;5.29;32.31;2.74;47.58;41.56
2262;NERhodeIsland;0.00;0.13;0.88;-0.22;0.94;-0.06;0.20;0.71;;0.47;0.77;0.81;6.13;0.11;0.77;0.67;0.46;0.73;0.09;0.72;1.09;-0.21;-0.14;0.01;7.02;0.41;5.29;1.32;13.11;10.87;0.68;1.40;0.16;0.29;-1.00;19.13;2.70;28.82;21.61
2264;LakeSuperior;0.00;-0.03;0.04;0.27;0.04;-0.01;-0.05;0.37;;-0.54;0.68;;;0.05;-0.13;;-0.10;0.57;0.20;0.24;-0.26;-0.10;0.23;0.02;10.52;-0.50;11.34;-0.33;2.64;0.72;1.44;2.03;-1.56;0.30;-0.42;12.74;1.28;16.07;11.42
2265;SouthFlorida;-0.01;-0.15;0.00;1.42;1.34;0.00;0.07;0.75;;-0.26;0.75;0.54;;0.39;0.58;-2.43;0.34;0.72;0.42;0.56;0.60;0.18;-0.09;0.26;4.52;1.84;4.24;-1.56;21.69;11.85;7.08;4.13;-1.38;0.73;2.20;28.41;2.79;39.59;29.71
2265;NewYorkCity;-0.02;-0.06;0.35;-0.45;-0.22;-0.04;-0.14;0.82;;0.40;;0.56;12.69;-0.22;0.78;132.50;0.45;0.69;-0.11;0.84;0.65;0.63;0.04;-0.14;7.52;0.67;7.57;-0.72;7.41;9.66;-1.55;1.09;-1.79;0.10;2.43;17.34;2.69;23.39;13.56
2283;MexicoCity;0.00;0.00;0.16;0.12;0.06;0.00;0.51;0.63;1.49;1.42;1.08;1.15;-0.45;0.70;0.88;;1.15;1.05;0.19;0.83;0.31;-0.20;0.21;0.00;11.03;-0.32;11.35;0.00;20.04;13.54;0.91;5.91;-0.32;1.16;-1.01;30.06;3.84;39.86;40.33
2333;Oklahoma;0.00;-0.02;0.95;0.10;1.03;0.11;0.34;0.82;;0.57;0.87;1.02;-0.41;1.62;0.63;0.54;0.85;0.59;1.03;0.64;-0.48;0.03;-0.01;0.01;5.84;0.42;5.65;-0.23;23.28;16.84;2.41;4.73;-0.71;0.90;0.21;29.33;3.93;42.39;38.83
2333;ArkansasRockCity;0.00;-0.10;0.07;0.47;0.50;0.04;0.32;0.61;-0.96;0.13;1.19;-0.93;;0.54;0.53;-5.02;0.05;0.47;0.77;0.70;0.23;0.47;-0.04;0.04;7.49;0.57;7.88;-0.96;15.63;10.15;2.51;3.04;-0.07;0.60;2.54;25.67;2.82;34.26;33.04
2335;KansasCity;0.00;-0.08;1.23;0.17;1.37;-0.05;0.04;0.36;4.97;-0.25;;1.06;;0.29;0.20;0.37;0.06;0.67;0.08;0.33;0.24;0.71;-0.05;0.27;3.20;-0.59;4.64;-0.84;12.77;5.16;3.30;3.43;0.88;0.74;4.91;20.88;1.50;28.89;20.50
2337;MIStateChampionship;0.01;-0.01;3.36;0.32;3.66;0.19;0.33;0.66;;0.63;0.66;0.57;;0.80;0.71;0.76;0.66;0.61;0.70;0.69;0.34;0.27;0.02;0.31;8.30;0.10;8.30;-0.10;26.60;12.47;8.34;4.87;0.91;1.04;2.91;37.80;3.32;57.54;49.15
2337;MITroy;0.00;-0.05;2.54;0.57;3.16;0.16;0.55;0.77;0.79;0.57;0.97;0.23;-0.81;0.97;0.69;0.67;1.00;0.65;0.50;0.75;0.28;1.01;-0.11;0.01;11.39;-0.09;12.02;-0.54;26.19;12.31;7.94;5.84;0.10;1.17;5.13;42.72;3.66;61.77;57.75
2337;MIKetteringUniversity2;0.00;0.07;1.73;0.04;1.67;0.07;0.28;0.72;3.03;0.47;0.59;0.32;-312.81;0.88;0.63;0.42;0.66;0.44;0.84;0.61;0.31;0.07;0.16;-0.08;3.50;1.31;1.46;0.72;22.98;15.62;3.65;2.75;0.97;0.61;-0.08;26.40;3.27;39.81;33.74
2338;Midwest;0.03;-0.01;1.27;3.75;5.07;0.52;0.52;0.69;30.45;1.06;0.71;0.89;;-0.15;0.80;0.67;0.99;0.96;0.15;0.80;0.02;0.05;-0.02;-0.02;7.91;-0.45;8.32;0.05;41.47;13.77;21.31;7.38;-0.99;1.41;0.16;49.55;3.59;74.35;72.93
2338;ArkansasRockCity;0.02;0.12;-0.28;2.45;2.19;-0.05;0.48;0.52;2.82;0.27;0.69;1.68;;0.87;1.11;-16.23;0.62;0.93;0.38;0.86;0.09;0.27;0.12;0.08;8.63;0.53;6.76;1.33;27.64;13.11;11.68;4.89;-2.04;0.84;1.75;38.02;3.30;53.11;46.27
2339;SanDiego;0.11;-0.04;0.22;0.17;0.52;0.01;0.19;0.06;0.61;0.18;0.27;0.49;0.00;0.48;0.57;0.51;0.53;0.78;0.55;0.45;0.16;-0.11;-0.05;-0.04;2.91;0.58;2.12;0.21;18.13;10.79;1.29;6.30;-0.25;1.24;-0.73;20.30;2.37;27.85;28.99
2339;Ventura;-0.01;-0.14;0.18;0.51;0.24;-0.07;0.20;0.60;0.34;0.30;0.53;0.72;;0.11;0.53;0.59;0.31;0.77;0.19;0.61;-0.03;-0.09;0.31;-0.04;7.50;0.26;8.69;-1.45;14.06;8.08;2.92;5.70;-2.64;0.96;-0.65;20.91;2.48;27.86;23.14
2340;TorontoEast;-0.04;0.16;1.05;-0.02;1.03;-0.01;-0.01;0.62;;-0.13;0.69;0.73;-0.33;-0.10;0.68;0.54;0.04;0.54;-0.22;0.67;-0.03;-0.20;0.12;0.31;8.75;0.35;6.99;1.42;13.60;4.75;1.99;0.97;5.89;0.59;0.53;22.82;1.65;30.16;22.18
2340;FingerLakes;-0.04;0.07;0.77;-0.07;0.83;-0.12;0.41;0.49;;0.53;0.97;0.92;;0.15;0.60;;0.41;0.80;0.08;0.67;-0.03;0.40;-0.11;-0.04;7.51;0.11;6.93;0.47;14.21;8.78;1.18;4.52;-0.27;0.89;1.81;23.53;2.45;32.25;28.70
2341;Oklahoma;0.00;0.00;1.67;0.30;1.97;-0.08;0.53;0.84;;1.12;0.97;0.62;0.46;-0.02;-0.08;0.72;1.11;0.74;0.24;0.58;0.56;-0.05;0.00;0.11;5.66;0.24;5.46;-0.03;25.81;14.79;4.84;5.25;0.93;1.11;0.29;31.76;3.50;46.66;40.39
2341;Bayou;-0.01;-0.02;-0.46;0.83;0.32;0.00;0.17;0.68;;0.89;0.78;0.53;;0.00;1.28;-3.52;0.60;0.53;0.04;1.05;0.57;0.02;0.02;-0.07;5.84;0.43;5.65;-0.25;18.09;11.68;3.23;1.90;1.28;0.46;-0.26;23.67;2.90;31.94;27.01
2342;NEUNH;-0.03;-0.01;1.57;-0.08;1.53;0.00;0.35;0.60;;1.09;0.76;0.57;;-0.05;0.66;0.76;1.00;0.65;-0.15;0.67;0.70;0.13;-0.07;0.30;1.89;1.44;0.67;-0.22;19.59;13.51;2.74;4.36;-1.02;0.80;2.13;23.61;2.77;35.30;30.63
2342;NEGraniteState;-0.06;0.01;-0.21;0.64;0.32;0.08;0.13;0.50;-3.87;0.57;0.90;0.23;;-0.26;0.64;0.69;0.56;0.51;-0.10;0.53;0.30;-0.12;0.07;-0.03;4.30;1.23;3.29;-0.23;12.76;8.36;2.80;2.97;-1.37;0.50;-0.77;16.29;2.00;22.28;20.85
2344;NewYorkCity;-0.04;0.01;0.23;-0.10;0.11;-0.01;-0.08;0.88;;1.12;;0.44;1.84;0.11;0.15;17.53;1.01;0.16;0.24;-0.17;0.68;0.12;0.00;0.01;6.27;1.13;5.25;-0.12;10.30;7.96;-0.02;3.34;-0.99;0.60;0.66;17.27;2.12;22.89;15.42
2345;KansasCity;0.00;0.02;-0.02;0.06;0.05;-0.05;0.37;0.67;11.23;0.23;;0.75;;1.23;0.42;0.46;0.20;0.82;0.93;0.60;0.02;0.06;0.01;0.01;5.86;0.99;4.71;0.17;20.25;13.79;0.25;4.43;1.78;1.01;0.38;26.49;3.23;34.71;32.53
2346;KansasCity;0.00;-0.02;0.00;0.13;0.11;-0.01;0.37;0.88;2.42;0.74;;0.67;;-0.08;0.67;0.74;0.77;0.73;0.00;0.70;0.59;0.15;0.00;0.08;7.46;-0.42;8.10;-0.22;15.53;11.34;0.67;2.62;0.90;0.58;1.18;24.16;3.08;32.21;31.38
2347;SBPLILongIsland;-0.04;0.00;0.25;-0.37;-0.16;-0.11;0.16;0.60;0.48;1.11;0.30;1.07;;0.22;0.22;;0.38;0.53;0.56;0.37;0.62;0.48;0.00;0.10;0.45;-0.03;0.64;-0.16;11.66;11.82;-1.37;1.52;-0.30;0.28;2.91;15.02;2.43;20.60;15.54
2348;Hawaii;0.01;0.07;0.30;-0.28;0.11;0.00;0.08;0.48;0.62;0.14;0.56;1.38;-0.03;0.01;0.97;-0.33;0.33;0.90;0.01;0.87;0.26;-0.12;-0.01;0.09;8.50;0.16;7.58;0.77;12.11;9.19;-0.80;3.43;0.29;0.71;-0.14;20.48;2.60;27.32;21.95
2352;LoneStar;0.00;0.04;0.16;1.64;2.16;0.15;0.09;0.52;;0.14;;0.16;;0.24;0.59;22866361939314800.00;0.29;0.47;0.10;0.78;-0.65;1.28;-0.32;-0.21;8.40;-0.49;8.54;0.36;19.60;6.54;8.52;1.02;3.53;0.44;5.34;33.34;2.16;45.48;38.99
2352;Oklahoma;0.00;0.01;-0.06;2.16;2.11;-0.02;0.48;0.58;;0.75;0.14;1.08;-1.16;0.06;0.90;0.32;0.75;0.81;0.03;0.73;0.68;0.65;-0.01;-0.02;7.00;0.42;6.51;0.07;24.73;11.28;10.65;4.59;-1.79;0.80;3.15;34.89;2.91;48.75;43.82
2353;KansasCity;0.00;-0.09;-0.12;-0.14;-0.50;-0.03;-0.10;0.39;2.35;-0.35;;0.16;;0.21;0.64;0.60;-0.25;0.00;0.06;0.55;0.14;0.44;0.15;0.07;2.72;0.53;3.11;-0.92;0.06;2.20;-0.93;-0.90;-0.31;-0.20;2.54;5.32;0.75;5.62;2.38
2354;Oklahoma;0.00;0.09;0.30;0.54;0.94;-0.06;0.50;0.70;;0.19;0.61;0.12;1.38;0.85;0.54;0.80;0.45;0.48;1.01;0.71;0.81;-0.13;0.00;0.00;10.32;-0.03;9.41;0.93;21.08;12.06;3.31;5.82;-0.12;1.16;-0.69;30.70;3.35;42.03;39.00
2357;KansasCity;0.00;-0.03;2.28;-0.41;1.91;-0.01;0.34;0.69;-0.18;-0.02;;0.89;;0.88;0.48;0.61;0.27;0.56;0.98;0.58;0.22;0.25;-0.08;0.15;9.43;-0.47;10.20;-0.30;16.05;10.31;2.52;4.34;-1.12;0.79;1.99;27.47;3.08;41.16;33.99
2358;Wisconsin;-0.04;0.21;-0.25;1.90;1.83;-0.10;0.35;0.82;;0.72;0.88;0.66;;-0.01;0.00;;0.59;0.74;0.14;0.18;0.08;-0.12;-0.01;-0.08;9.78;0.30;7.53;1.95;22.70;8.57;9.00;1.97;3.17;0.61;-0.99;31.49;2.47;43.39;35.97
2358;CentralIllinois;-0.02;0.31;0.15;1.12;1.31;-0.02;0.00;0.69;-0.85;0.41;0.03;0.25;;-0.11;0.87;0.18;0.42;0.35;-0.03;0.66;-0.34;-0.19;0.24;-0.03;11.49;0.06;8.48;2.95;12.34;6.24;5.89;0.59;-0.37;0.09;-1.06;22.77;2.10;32.11;22.28
2359;Oklahoma;0.00;0.02;0.91;-0.41;0.53;-0.08;0.55;0.90;;1.23;0.72;0.50;-0.35;0.28;1.04;1.30;1.15;0.56;0.21;0.87;0.90;0.90;-0.01;-0.01;7.93;0.34;7.35;0.23;20.48;14.75;-0.22;5.73;0.23;1.16;4.43;32.85;3.68;43.72;41.84
2359;ArkansasRockCity;-0.01;-0.05;-0.29;0.21;-0.42;-0.07;0.10;0.66;0.50;0.55;0.25;0.71;;0.12;0.89;5.49;0.71;0.27;0.01;0.77;-0.13;0.10;0.28;-0.04;3.93;0.40;4.12;-0.59;12.12;9.61;0.49;3.07;-1.05;0.54;0.32;16.37;2.33;20.88;16.59
2360;INPerryMeridian;-0.04;0.08;0.97;-0.91;0.21;-0.11;0.07;0.51;-0.01;0.35;;0.53;;0.13;0.47;;0.13;0.59;0.14;0.52;0.33;0.23;-0.11;-0.09;1.86;0.40;0.85;0.61;8.99;9.09;-2.61;1.29;1.21;0.34;0.68;11.53;1.90;16.96;10.00
2360;INTippecanoe;0.00;0.12;0.04;0.19;0.13;-0.03;0.21;0.60;;0.56;0.76;0.33;;0.66;0.67;0.51;0.36;0.58;0.58;0.63;0.40;0.67;0.22;0.04;1.60;-0.34;0.72;1.22;16.67;13.37;1.04;2.13;0.12;0.43;3.54;21.81;2.75;29.10;25.20
2363;CHSHamptonRoads;0.05;0.00;4.53;0.02;4.64;0.24;0.35;0.77;;0.77;1.03;0.79;;0.21;0.52;0.72;1.03;0.92;0.00;0.64;0.10;0.05;-0.05;0.03;6.46;0.52;5.70;0.23;34.45;13.97;9.14;2.38;8.96;1.07;0.41;41.33;3.36;64.23;54.33
2363;CHDistrictChampionship;-0.02;0.00;3.45;-0.11;2.95;0.11;0.28;0.67;;0.72;0.70;0.62;;0.35;0.52;;0.74;0.68;0.26;0.52;0.17;0.09;0.37;-0.05;5.73;1.06;4.72;-0.06;28.28;12.04;6.33;1.06;8.86;0.80;0.22;34.22;2.88;50.65;42.72
2363;CHSNorthernVirginia;-0.03;0.00;1.42;0.02;1.31;0.00;0.45;0.68;0.93;1.36;1.06;0.77;0.55;-0.21;0.43;0.96;1.13;0.78;0.05;0.64;-0.14;0.00;0.09;0.10;5.27;0.84;4.56;-0.14;21.77;14.10;2.92;3.25;1.50;0.75;0.51;27.55;3.28;39.84;36.49
2367;SiliconValley;0.00;-0.12;2.17;-1.11;0.96;-0.10;0.45;0.42;;0.85;;0.64;;0.58;0.75;;0.93;0.86;0.14;0.75;-0.09;0.68;-0.02;-0.02;-1.26;1.17;-1.24;-1.19;17.54;16.14;-1.18;3.08;-0.49;0.58;3.28;19.57;3.11;30.34;25.87
2367;Sacramento;0.00;0.02;1.61;-0.82;0.87;-0.10;-0.17;0.80;;0.53;-0.05;;12.75;0.33;0.60;-13336619057401200.00;0.05;0.15;0.16;0.51;-0.54;-0.33;-0.08;0.00;4.97;0.53;4.28;0.15;8.28;6.22;-0.91;1.17;1.80;0.35;-1.62;11.63;1.67;18.54;5.76
2370;NEUNH;0.07;0.04;5.15;0.01;5.21;0.10;0.59;0.77;;1.46;0.84;0.53;;-0.03;0.80;0.78;1.24;0.79;-0.03;0.75;0.28;0.43;0.05;-0.01;9.83;0.45;8.67;0.71;27.76;13.21;10.34;4.91;-0.69;0.94;2.09;39.68;3.51;64.73;53.91
2370;NEDistrictChampionship;-0.02;0.10;3.00;0.70;3.66;0.22;0.37;0.69;;0.76;0.67;0.66;;0.31;0.66;0.67;0.72;0.65;0.33;0.66;0.10;0.09;0.12;0.23;8.00;0.77;6.38;0.85;26.37;12.10;9.53;3.61;1.13;0.80;1.61;35.99;3.06;55.07;48.78
2370;NEWPI;0.00;-0.06;1.19;-0.14;1.00;0.02;0.46;0.74;-0.32;0.72;0.91;0.66;;0.57;0.69;0.64;0.63;0.77;0.57;0.79;0.34;-0.13;-0.01;-0.09;8.19;0.31;8.46;-0.58;18.53;13.28;1.67;2.25;1.32;0.54;-1.08;25.64;3.50;37.51;35.47
2373;Oklahoma;0.00;-0.12;2.47;0.07;2.42;-0.01;0.22;0.49;;1.10;0.42;0.96;-0.42;-0.24;0.80;1.07;0.75;0.72;-0.15;0.67;-0.12;0.39;0.00;0.00;3.85;-0.08;5.10;-1.18;19.31;9.86;5.28;2.59;1.58;0.62;1.97;25.12;2.48;38.88;29.42
2374;PNWDistrictChampionship;0.03;0.16;-0.20;3.21;3.15;0.22;0.27;0.68;;0.62;0.67;0.75;;-0.18;0.68;;0.66;0.70;-0.06;0.67;-0.13;0.14;0.04;-0.16;9.13;0.06;7.37;1.70;27.44;9.56;15.64;5.34;-3.09;0.86;-0.09;36.49;2.65;52.94;47.35
2374;PNWClackamasAcademy;0.00;0.14;0.61;2.14;2.91;0.11;0.28;0.53;-0.03;0.50;0.75;0.66;-0.21;0.21;0.94;0.74;0.26;0.69;0.25;0.72;-0.20;0.56;-0.02;0.00;12.52;0.04;11.12;1.36;24.05;6.61;11.93;4.76;0.76;1.00;2.78;39.35;2.43;54.53;47.59
2374;PNWWilsonville;0.00;0.00;-0.36;0.59;0.33;-0.02;0.28;0.52;;0.28;1.35;0.84;0.55;0.14;0.41;1.78;0.48;0.91;0.37;0.42;0.16;-0.28;-0.10;-0.07;2.22;0.50;1.69;0.03;19.79;12.67;2.24;4.55;0.34;0.93;-1.78;20.23;2.70;28.02;25.26
2375;ArizonaWest;0.00;0.01;-0.31;0.82;0.60;-0.01;0.16;0.81;;-0.04;0.96;0.92;;0.13;0.48;1.10;0.05;0.78;0.17;0.54;-0.23;0.15;-0.08;0.08;10.59;-0.10;10.61;0.08;13.43;6.48;3.48;3.04;0.44;0.64;1.13;25.17;2.36;32.94;28.21
2375;ArizonaNorth;-0.02;-0.12;0.03;-0.25;-0.31;-0.07;0.02;0.72;;0.05;0.36;0.31;0.89;-0.21;0.50;0.66;0.18;0.38;-0.31;0.71;-0.01;0.68;-0.05;-0.04;4.82;1.50;4.65;-1.32;4.61;6.12;-1.19;0.57;-0.89;0.05;3.22;12.66;1.69;15.90;11.35
2377;CHDistrictChampionship;-0.03;0.12;3.08;0.30;3.34;0.35;0.35;0.67;;0.91;0.69;0.66;;0.17;0.69;;0.88;0.68;0.06;0.68;-0.06;-0.02;0.12;-0.06;9.02;0.16;7.82;1.04;31.36;10.97;7.64;3.10;9.65;1.26;-0.41;39.97;2.98;57.86;55.66
2377;CHSCentralMaryland;0.07;0.00;1.09;0.01;1.04;0.02;0.33;0.72;0.76;1.04;0.70;0.30;;0.26;0.79;0.67;1.00;0.58;0.52;0.73;0.10;-0.12;0.13;0.05;8.26;0.18;7.72;0.35;23.62;13.89;2.25;4.58;2.91;1.11;-0.39;31.50;3.55;43.62;38.38
2377;CHSNorthernMaryland;0.00;0.05;0.36;0.25;0.58;-0.02;0.09;0.54;-1.19;0.45;0.92;-0.03;0.37;0.60;0.76;;0.44;0.23;0.37;0.83;0.13;0.22;0.07;0.09;-0.44;0.87;-1.77;0.45;17.28;12.86;1.98;1.59;0.85;0.37;1.54;18.38;2.39;26.19;19.74
2382;Oklahoma;0.00;0.00;-0.75;-0.22;-0.97;-0.08;0.06;0.36;;0.13;0.89;0.11;1.69;0.26;0.51;1.24;-0.24;0.33;0.57;0.62;0.69;-0.21;-0.01;0.01;-0.71;0.59;-1.25;-0.05;8.79;8.79;-2.60;-0.07;2.67;0.16;-1.00;7.08;1.63;8.13;6.31
2383;FingerLakes;0.02;0.23;1.12;0.64;2.02;-0.04;0.33;0.70;;0.78;1.90;0.74;;0.51;0.88;;0.77;0.79;0.24;0.85;0.29;0.26;-0.02;-0.04;10.86;0.52;7.99;2.35;25.86;12.79;5.43;4.02;3.61;1.04;1.11;37.83;3.36;52.53;43.53
2383;SouthFlorida;0.02;0.42;0.81;0.68;1.96;0.00;0.49;0.98;;0.65;0.97;0.98;;-0.10;0.61;-26.37;0.80;0.86;-0.34;0.67;-0.18;0.21;-0.04;-0.10;13.72;-0.29;9.78;4.23;22.25;9.94;5.01;7.11;0.18;1.43;0.57;36.54;2.97;50.07;46.28
2383;Orlando;0.00;-0.10;0.73;0.44;1.20;-0.01;0.31;0.40;;1.34;0.47;0.67;;-0.27;0.24;;1.23;0.74;-0.34;0.46;0.30;0.64;-0.12;-0.04;2.55;0.42;3.16;-1.03;18.58;10.86;3.69;2.23;1.80;0.57;3.02;24.14;2.49;34.10;29.89
