team;best event;auto Boulders Low;auto Boulders High;teleop Boulders Low;teleop Boulders High;subtracted tower strength;teleop Tower Captured;teleop Defenses Breached;low bar crossings;portcullis crossings;cheval de frise crossings;moat crossings;ramparts crossings;drawbridge crossings;sally port crossings;rock wall crossings;rough terrain crossings;A crossings;B crossings;C crossings;D crossings;foul Count;fouls drawn;tech Foul Count;tech fouls drawn;auto Points;auto Reach Points;auto Crossing Points;auto Boulder Points;teleop Points including challenge/scale;teleop Crossing Points;teleop Boulder Points;teleop Challenge Points;teleop Scale Points;challenge or scale count;foul Points;total Points;cross defense count;eOPR 1;eOPR2
1339;Colorado;0.04;-0.01;-0.16;0.56;0.34;0.08;0.37;0.71;0.18;0.58;0.84;0.11;;0.51;0.82;0.61;0.49;0.50;0.45;0.82;0.01;0.35;0.10;-0.06;10.48;-0.04;10.37;0.15;17.25;9.63;2.48;4.57;0.56;0.95;1.44;29.17;2.96;37.63;38.43
1369;Orlando;-0.02;-0.08;1.30;0.21;1.42;-0.07;0.40;0.35;;0.62;0.83;0.66;;0.70;0.85;;0.84;0.63;0.53;0.78;0.14;-0.11;-0.01;-0.07;-0.38;0.31;0.15;-0.85;23.34;15.59;3.62;2.62;1.52;0.62;-0.94;22.02;3.13;34.29;28.21
1389;CHSCentralMaryland;0.05;0.00;-0.29;1.55;1.36;-0.08;0.26;0.70;0.48;1.04;0.53;0.59;;0.58;0.48;0.67;0.64;0.60;0.35;0.55;-0.09;0.63;-0.05;-0.06;6.63;0.97;5.41;0.26;21.33;11.50;7.15;2.27;0.41;0.48;2.86;30.82;2.84;42.16;34.02
1391;MARDistrictChampionship;0.01;-0.08;3.58;0.02;3.78;0.38;0.39;0.66;;0.88;0.70;0.78;;0.36;0.60;;0.87;0.77;0.40;0.61;0.24;0.05;-0.25;0.15;10.78;-0.01;11.55;-0.76;25.20;10.79;7.28;3.02;4.11;0.88;0.97;36.94;3.31;57.03;54.26
1403;MARBridgewaterRaritan;0.04;-0.02;1.90;-0.08;1.93;0.15;0.26;0.69;;0.46;1.02;0.63;;0.64;0.80;107.32;0.55;0.66;0.64;0.74;-0.25;0.64;-0.10;0.12;8.09;0.44;7.68;-0.02;21.89;12.53;3.38;4.28;1.70;0.97;3.81;33.80;3.27;48.00;42.55
1405;FingerLakes;0.09;-0.08;1.90;0.48;2.44;0.16;0.26;0.70;;0.75;0.84;0.35;;0.21;0.52;;0.78;0.55;0.16;0.55;0.33;-0.12;-0.06;-0.17;6.52;0.54;6.38;-0.40;26.74;10.52;6.19;1.35;8.68;0.85;-1.46;31.80;2.74;46.27;40.86
1418;CHSDC;0.04;0.00;2.22;-0.08;2.26;0.10;0.75;0.74;0.17;1.17;0.35;1.17;-0.90;1.60;1.27;;1.34;0.80;1.32;0.99;-0.21;0.98;-0.07;0.05;5.26;0.75;4.30;0.21;42.74;23.85;4.06;-0.17;15.00;0.97;5.16;53.17;5.20;73.22;70.58
1425;PNWAuburn;0.00;0.03;4.71;0.18;4.84;0.32;0.45;0.75;1.88;0.81;0.73;0.54;0.11;0.03;0.76;0.58;0.75;0.70;0.16;0.81;0.03;0.10;0.08;0.04;9.24;0.08;8.90;0.27;35.52;11.42;10.31;0.31;13.48;0.96;0.70;45.46;3.17;68.52;62.46
1477;LoneStar;0.00;-0.03;2.12;1.67;3.80;0.40;0.27;0.81;;0.88;;0.62;;-0.28;1.21;155925314124308000.00;0.93;0.58;-0.17;0.85;-0.04;0.84;-0.04;-0.01;10.68;-0.46;11.44;-0.29;26.37;9.32;12.57;4.12;0.36;0.85;4.15;41.20;3.01;60.59;56.71
1481;MICenterLine;0.02;0.00;4.48;0.01;4.35;0.15;0.65;0.76;;1.05;0.90;1.14;;0.06;1.14;0.60;0.97;0.86;0.08;0.91;-0.02;0.52;0.17;0.12;10.77;0.03;10.59;0.15;28.56;12.59;9.00;4.87;2.10;1.11;3.21;42.54;3.58;65.06;59.15
1501;INChampionship;-0.03;0.77;-1.82;4.36;3.34;0.31;0.34;0.58;;0.68;0.82;0.71;;0.44;0.67;;0.51;0.68;0.39;0.68;0.06;0.14;-0.05;0.06;16.58;0.46;8.53;7.60;40.45;9.90;18.16;0.47;11.92;0.89;1.01;58.04;2.83;75.55;72.56
1510;PNWPhilomath;0.00;0.03;0.35;0.07;0.42;-0.06;0.41;0.81;92.63;0.86;0.61;0.41;;-0.21;0.62;;0.71;0.67;-0.13;0.65;-0.01;0.21;0.03;0.03;7.02;0.54;6.18;0.30;16.91;10.47;1.07;3.92;1.45;0.88;1.19;25.12;2.71;33.22;31.85
1511;FingerLakes;-0.02;-0.15;3.86;0.13;3.90;0.28;0.33;0.69;;1.00;0.48;0.92;;-0.07;0.70;;0.78;0.79;0.16;0.74;-0.01;0.02;-0.08;0.01;9.52;0.15;10.92;-1.55;30.08;10.35;8.34;4.38;7.00;1.34;0.15;39.75;3.16;59.84;53.24
1515;LasVegas;-0.02;-0.01;-0.06;0.20;-0.09;-0.01;0.32;0.60;;0.83;1.49;0.76;;-0.14;0.75;0.67;0.98;0.75;-0.18;0.77;0.18;0.03;0.21;-0.04;6.86;0.17;6.88;-0.19;16.55;11.18;0.90;2.68;1.79;0.66;-0.03;23.26;2.92;30.29;29.42
1519;NEPineTree;0.00;0.76;-0.54;4.65;4.74;0.22;0.51;0.69;1.47;0.46;0.80;0.70;;0.65;0.77;0.54;0.58;0.75;0.49;0.75;0.03;0.39;0.12;0.02;19.19;-0.21;11.82;7.58;38.62;10.37;22.16;4.59;1.50;1.02;2.03;59.84;3.25;82.79;75.53
1529;INPerryMeridian;-0.04;-0.04;5.81;0.22;6.03;0.42;0.41;0.71;1.56;0.79;;0.66;;0.18;0.71;;0.90;0.74;0.26;0.69;-0.18;0.63;-0.08;-0.13;8.54;0.02;9.12;-0.60;28.62;11.93;12.71;4.89;-0.90;0.92;2.53;39.69;3.30;66.77;58.39
1533;NCStateChampionship;0.07;-0.05;-0.34;3.57;3.27;0.10;0.33;0.73;0.56;0.81;0.76;0.66;;-0.02;0.58;;0.93;0.69;0.00;0.62;0.14;-0.08;-0.02;0.00;8.09;0.05;8.18;-0.15;39.56;10.76;17.19;-0.51;12.13;0.71;-0.37;47.27;2.97;64.92;56.45
1538;ArizonaWest;0.00;0.23;0.98;3.52;4.72;0.12;0.25;0.77;;1.06;0.45;-0.14;;-0.46;0.68;0.55;1.06;0.34;-0.29;0.71;0.21;0.41;0.02;0.00;8.14;0.01;5.86;2.27;39.08;10.05;19.57;0.73;8.73;0.73;2.04;49.23;2.60;70.46;57.26
1540;PNWClackamasAcademy;0.00;-0.02;0.15;5.69;5.80;0.46;0.54;0.71;1.37;1.39;0.62;0.81;-0.18;0.30;0.76;0.71;1.16;0.71;0.05;0.72;-0.29;1.64;0.01;0.19;11.15;0.05;11.35;-0.25;45.18;11.02;28.73;4.61;0.82;0.98;9.14;65.47;3.34;91.93;87.80
1559;FingerLakes;-0.02;-0.02;2.97;0.38;3.14;0.38;0.46;0.61;;1.03;0.26;0.73;;0.72;0.42;;0.87;0.55;0.67;0.52;0.18;-0.11;0.17;0.24;6.12;0.24;6.17;-0.29;27.41;13.02;7.82;5.95;0.62;1.23;0.65;34.18;3.22;52.06;52.93
1619;Colorado;-0.02;0.64;1.33;2.51;4.53;0.11;0.45;0.74;1.30;1.38;0.35;0.68;;0.56;0.71;0.41;1.16;0.84;0.25;0.61;-0.08;0.50;-0.07;0.42;13.61;0.92;6.33;6.36;33.85;14.84;15.19;2.94;0.88;0.65;4.59;52.05;3.60;75.22;63.74
1622;Idaho;-0.04;-0.01;-0.09;0.31;0.20;-0.01;0.00;0.68;1.33;0.73;0.64;0.51;1.50;0.01;0.32;0.59;0.58;0.53;-0.04;0.44;0.51;0.07;-0.02;-0.03;5.27;0.85;4.67;-0.24;8.66;8.63;1.39;0.05;-1.40;-0.08;0.18;14.11;2.19;20.23;13.73
1629;CHSNorthernVirginia;-0.02;0.00;1.40;0.62;1.95;0.00;0.58;0.82;0.86;1.07;0.96;0.99;-0.27;-0.13;0.99;0.89;1.25;0.90;-0.10;1.01;0.24;0.11;0.06;-0.02;8.27;0.46;7.91;-0.10;26.52;15.42;5.91;3.90;1.29;0.87;0.45;35.24;3.88;51.02;46.76
1640;MARWesttown;0.08;0.52;0.34;3.93;4.81;0.08;0.29;0.50;-19.17;0.98;0.30;0.54;;-0.16;0.73;;0.94;0.51;-0.15;0.72;0.26;0.48;0.06;0.04;13.70;0.20;7.90;5.59;32.70;8.69;20.32;2.95;0.75;0.64;2.63;49.03;2.53;70.40;56.83
1648;PCHAlbany;-0.01;0.00;4.96;-0.13;4.68;0.14;0.41;0.71;1.54;0.90;0.32;0.64;-0.30;0.13;0.62;0.93;1.18;0.62;0.17;0.78;0.20;0.04;0.15;-0.07;7.74;0.40;7.39;-0.05;28.40;13.56;9.28;5.55;0.00;1.11;-0.13;36.01;3.45;59.25;47.62
1662;CentralValley;0.00;0.08;0.06;-0.10;-0.04;-0.04;0.43;0.60;;-0.02;1.23;0.59;0.44;1.28;0.87;;0.03;0.87;0.90;0.76;0.38;-0.09;0.08;-0.22;1.26;-0.03;0.48;0.80;28.78;15.54;-0.39;4.14;9.49;1.46;-1.54;28.50;3.16;36.26;36.21
1665;FingerLakes;-0.01;0.05;1.91;-0.30;1.63;-0.05;0.30;0.74;;0.70;0.31;0.64;;0.77;0.66;;0.70;0.47;0.81;0.69;-0.03;0.13;0.03;-0.15;7.73;-0.58;7.81;0.50;19.77;13.13;2.33;5.10;-0.81;0.97;-0.10;27.40;3.41;41.00;32.16
1671;CentralValley;0.00;0.03;0.22;3.21;3.42;-0.06;0.19;0.24;;0.12;0.34;0.78;-0.30;0.84;0.97;;0.12;0.68;0.41;0.89;0.13;0.24;0.04;-0.12;4.93;0.15;4.49;0.28;33.05;9.44;16.49;5.38;1.73;1.19;0.61;38.58;2.34;55.12;40.96
1675;St.Louis;0.16;-0.05;2.52;0.11;2.71;0.00;0.61;0.76;1.17;0.63;1.10;0.77;0.74;0.72;0.36;0.97;1.28;0.92;0.60;0.60;-0.37;0.58;0.03;0.04;8.31;0.73;7.27;0.31;28.43;17.11;5.59;7.61;-1.87;1.40;3.11;39.85;4.15;58.68;52.12
1676;MARBridgewaterRaritan;0.01;0.09;2.89;0.32;3.49;0.12;0.38;0.82;;0.74;0.39;0.62;;0.39;0.77;-111.00;0.73;0.75;0.28;0.73;-0.08;0.01;-0.18;0.07;10.16;-0.02;9.26;0.92;21.71;11.90;7.39;3.96;-1.54;0.69;0.41;32.29;3.31;51.47;42.86
1678;Sacramento;0.00;0.75;0.21;4.67;5.72;0.20;0.60;0.86;;1.78;1.08;;29.47;0.07;0.75;662546179193069.00;1.62;0.65;-0.46;0.82;-0.14;1.72;-0.08;0.19;15.27;0.34;7.40;7.53;42.12;13.78;23.78;5.21;-0.65;1.00;9.55;66.93;3.50;93.54;83.88
1684;MIKetteringUniversity2;0.00;-0.04;0.59;2.07;2.49;0.03;0.52;0.72;8.89;1.10;0.84;0.59;416.63;0.56;0.86;0.49;1.23;0.76;0.64;0.78;0.71;-0.02;0.13;0.46;6.88;0.47;6.82;-0.41;33.27;17.21;11.54;4.20;0.32;0.86;2.18;42.33;4.13;60.42;53.49
1690;Israel;0.00;0.49;-0.21;2.81;3.12;0.15;0.50;0.67;;1.05;0.77;0.77;-0.05;1.09;0.86;;1.24;0.74;0.03;0.82;-0.27;0.97;-0.03;0.04;10.13;1.12;4.08;4.92;35.13;15.44;13.62;2.36;3.71;0.72;5.04;50.30;3.50;68.79;64.13
1700;Oklahoma;0.00;0.04;0.48;0.00;0.53;0.07;-0.10;0.68;;-0.37;1.26;1.12;0.47;-0.08;0.83;0.30;-0.28;0.88;-0.01;0.71;0.06;0.91;0.00;-0.02;9.43;-0.36;9.35;0.44;9.82;5.25;0.98;0.89;2.70;0.36;4.44;23.69;1.98;30.30;23.25
1701;MICenterLine;-0.02;0.13;2.31;0.58;2.96;0.15;0.47;0.50;;0.92;0.63;0.99;;0.93;0.98;0.64;1.12;0.71;0.54;0.82;0.33;0.62;0.04;0.08;8.97;-0.19;7.98;1.17;33.91;14.47;7.50;3.42;8.52;1.25;3.51;46.39;3.69;64.86;59.52
1710;SmokyMountains;0.00;-0.03;4.77;0.13;4.94;0.41;0.44;0.72;;0.84;0.73;0.87;0.08;0.01;0.68;51963654136385000.00;0.81;0.77;-0.13;0.64;0.01;-0.16;-0.08;-0.10;8.74;0.31;8.78;-0.34;24.82;9.74;10.18;7.16;-2.26;1.28;-1.25;32.31;2.83;54.81;51.31
1712;MARDistrictChampionship;0.29;-0.06;3.50;0.08;3.78;0.47;0.30;0.65;;0.63;0.92;0.62;;0.43;0.72;;0.69;0.64;0.07;0.71;0.00;0.12;0.03;0.00;9.30;0.05;8.38;0.87;22.10;9.62;7.41;4.62;0.45;0.95;0.60;32.00;2.76;50.73;49.68
1718;MITroy;0.00;0.08;0.73;3.05;3.86;0.24;0.41;0.74;1.59;0.81;0.72;0.75;0.37;0.45;0.78;0.67;1.02;0.67;0.39;0.61;0.49;0.33;0.00;-0.02;11.77;-0.23;11.22;0.78;33.18;11.62;16.72;4.56;0.28;0.93;1.57;46.51;3.45;67.19;60.72
1723;Iowa;0.05;-0.01;2.74;-0.32;2.22;0.07;0.24;0.65;;0.45;0.83;0.71;;0.04;0.72;0.70;0.46;0.72;0.09;0.66;0.03;-0.12;0.24;0.18;5.63;0.72;4.81;0.10;19.70;10.47;3.90;2.75;2.58;0.72;0.32;25.66;2.58;39.03;32.13
1729;NEDistrictChampionship;-0.04;0.07;3.33;0.56;3.90;0.36;0.35;0.60;;0.74;0.67;0.58;;0.07;0.63;0.67;0.70;0.59;0.08;0.66;0.55;0.04;0.03;0.46;10.03;0.28;9.21;0.54;24.72;8.59;9.47;5.20;1.46;1.14;2.53;37.28;2.64;56.07;53.12
1730;Iowa;0.11;0.34;0.67;3.73;4.59;0.26;0.44;0.70;;0.87;0.70;0.93;;-0.25;0.87;0.92;0.90;0.77;-0.25;0.75;0.00;0.02;0.25;-0.02;13.41;0.30;9.22;3.89;42.87;9.75;19.99;2.33;10.80;1.19;-0.01;56.27;2.87;77.79;71.61
1731;CHSSouthwestVirginia;0.00;0.05;0.28;3.51;3.78;0.08;0.35;0.75;0.14;0.12;0.86;0.83;;0.82;0.92;2.02;0.03;0.69;0.54;0.86;0.03;0.40;0.06;-0.07;9.58;0.16;8.93;0.49;30.66;9.87;18.11;1.48;1.20;0.38;1.63;41.87;2.87;60.84;50.91
1732;Wisconsin;-0.02;0.02;-0.01;2.57;2.69;0.09;0.38;0.59;;0.17;0.98;0.67;;0.53;0.95;;0.37;0.72;0.23;0.79;-0.08;-0.28;-0.14;-0.17;7.45;0.23;7.14;0.08;26.82;9.90;12.85;3.92;0.16;0.79;-2.29;31.98;2.69;47.13;41.80
1736;Midwest;0.09;0.55;2.39;2.48;5.55;0.72;0.47;0.76;-757.88;0.95;0.90;0.71;;0.28;0.79;0.50;0.71;0.80;0.20;0.69;0.12;0.22;-0.03;-0.04;14.25;-0.01;8.29;5.98;39.01;11.67;17.20;5.16;4.98;1.36;0.91;54.17;3.16;79.41;81.61
1746;GAStateChampionship;0.48;-0.02;5.29;0.24;5.98;0.36;0.39;0.70;;0.65;0.78;0.74;1.75;0.95;0.71;1.61;0.76;0.75;0.93;0.67;0.17;0.57;0.01;0.03;13.21;-0.09;11.08;2.21;33.26;13.50;11.76;2.15;5.86;0.82;3.01;49.48;3.81;77.68;66.34
1747;INTippecanoe;0.00;0.56;0.65;2.78;4.09;0.20;0.58;0.69;;1.00;0.90;0.49;;0.18;0.72;0.96;0.76;0.85;0.05;0.79;-0.21;0.45;-0.10;-0.05;19.65;-0.40;14.45;5.59;27.67;8.46;15.18;5.07;-1.05;0.94;1.99;49.30;3.14;69.92;65.91
1756;Midwest;-0.06;0.12;0.39;3.72;4.23;0.31;0.46;0.71;-992.25;0.87;0.86;0.61;;0.43;0.71;0.58;1.12;0.80;0.32;0.77;0.32;0.09;-0.07;0.10;11.16;0.19;10.10;0.87;37.37;13.51;19.36;4.82;-0.31;0.94;0.95;49.48;3.71;71.99;66.45
1764;Iowa;0.08;0.11;1.71;-0.16;1.81;0.01;0.24;0.69;;0.34;0.60;0.70;;0.04;0.85;1.03;0.55;0.74;0.05;0.71;0.45;0.12;-0.08;0.02;11.11;-0.31;9.94;1.47;16.16;8.73;2.61;3.45;1.37;0.78;0.73;27.99;2.74;40.50;33.09
1768;NEDistrictChampionship;0.02;0.15;-0.24;3.38;3.21;0.31;0.28;0.67;;0.51;0.67;0.57;;0.03;0.67;0.67;0.56;0.58;0.04;0.67;-0.08;0.04;0.10;0.20;12.61;-0.25;11.22;1.63;35.56;6.99;16.40;1.11;11.06;0.96;1.21;49.38;2.52;65.72;62.88
1775;Iowa;0.51;0.07;4.92;0.55;6.11;0.61;0.51;0.66;;1.32;0.91;0.67;;0.07;0.80;0.15;1.05;0.74;-0.05;0.68;-0.09;-0.08;-0.07;0.05;9.15;0.61;5.33;3.21;35.77;12.76;12.59;6.19;4.22;1.52;-0.14;44.77;3.09;71.60;70.29
1796;SBPLILongIsland;0.00;0.70;0.29;4.07;5.08;0.25;0.16;0.43;0.75;0.73;0.49;0.82;;0.66;0.51;;0.56;0.56;0.15;0.58;-0.45;0.26;-0.01;0.01;17.03;-0.22;10.29;6.96;33.97;6.31;20.94;6.81;-0.09;1.36;1.35;52.34;2.29;73.93;61.66
1806;Oklahoma;0.00;0.80;0.96;3.29;5.04;0.21;0.73;0.84;;1.58;1.15;1.38;1.25;0.81;1.03;-0.10;1.05;0.89;0.63;0.71;-0.23;0.37;0.01;0.00;14.14;-0.40;6.57;7.97;41.67;17.36;18.38;7.03;-1.09;1.33;1.87;57.68;4.13;83.75;77.52
1836;OrangeCounty;0.00;0.49;-0.12;3.22;3.42;0.02;0.19;0.66;;0.03;0.49;0.77;;0.22;0.56;;0.21;0.70;0.07;0.58;0.02;1.28;0.15;0.07;12.25;0.27;7.12;4.86;27.47;7.56;15.83;3.09;0.99;0.68;6.75;46.46;2.22;62.72;50.72
1860;HubCity;0.01;0.44;0.35;2.49;3.10;0.01;0.19;0.75;;0.36;0.13;0.33;;0.34;0.89;0.47;0.41;0.23;0.24;0.49;0.32;0.25;0.17;0.16;14.89;-0.33;10.82;4.40;20.86;5.27;13.12;2.32;0.16;0.47;2.06;37.81;2.14;52.85;41.80
1868;SiliconValley;0.00;-0.10;1.47;0.06;1.50;-0.04;0.15;0.70;;0.14;;0.58;;1.24;0.71;;0.54;0.56;0.67;0.69;-0.27;0.45;-0.07;-0.01;10.34;0.35;11.00;-1.01;15.86;10.35;3.23;0.97;1.30;0.28;2.23;28.42;3.17;41.04;30.45
1885;CHSHamptonRoads;-0.03;0.00;3.26;0.70;3.88;0.04;0.58;0.58;;0.06;0.64;0.96;;0.70;0.97;0.86;0.18;0.94;0.89;0.91;-0.05;0.86;0.04;-0.03;6.54;0.02;6.69;-0.17;27.67;14.18;10.02;3.62;-0.15;0.71;4.18;38.39;3.50;59.29;51.17
1902;RocketCity;0.00;-0.02;0.44;0.66;1.16;-0.04;0.27;0.45;0.85;0.25;0.46;0.66;;0.07;0.55;;0.50;0.52;-0.23;0.61;0.18;0.04;-0.08;0.04;8.54;0.02;8.73;-0.21;14.58;4.92;4.21;4.28;1.17;0.93;0.41;23.54;1.86;31.82;28.00
1918;MIStateChampionship;-0.02;0.61;-0.76;4.28;3.99;0.40;0.36;0.66;;0.78;0.71;0.68;;0.24;0.68;0.69;0.76;0.68;0.16;0.66;0.18;-0.01;0.12;-0.02;17.07;-0.35;11.46;5.96;38.03;8.88;19.88;2.47;6.80;0.95;-0.16;54.94;2.92;74.73;72.19
1923;MARDistrictChampionship;-0.03;-0.06;3.55;0.81;4.17;0.43;0.35;0.72;;0.75;0.53;0.77;;0.06;0.66;;0.73;0.76;-0.01;0.67;0.15;0.33;0.10;-0.03;6.27;0.86;6.20;-0.79;27.84;11.30;11.13;4.27;1.13;0.93;1.50;35.61;2.88;55.83;53.23
1939;KansasCity;0.00;-0.02;3.26;0.23;3.36;0.21;0.46;0.76;2.54;0.97;;0.83;;-0.19;0.54;0.82;0.99;0.77;0.02;0.79;0.04;0.05;0.11;0.03;6.39;0.19;6.35;-0.15;25.40;13.47;7.64;4.44;-0.14;0.88;0.36;32.16;3.33;50.97;46.56
1973;NERhodeIsland;0.00;0.05;0.81;0.14;0.92;0.08;0.02;0.44;;-0.04;0.46;0.75;0.37;0.64;0.68;0.67;0.04;0.66;0.36;0.68;0.19;0.13;0.08;0.04;3.51;-0.04;3.09;0.46;12.32;9.36;2.34;2.88;-2.26;0.42;0.83;16.65;2.18;24.98;18.96
1983;PNWDistrictChampionship;0.13;0.37;1.14;1.40;2.99;0.27;0.33;0.67;;0.65;0.67;0.66;;-0.10;0.68;;0.66;0.70;-0.12;0.67;0.12;0.26;0.04;0.17;14.34;0.00;10.00;4.35;32.46;7.84;9.29;-0.07;15.40;1.01;2.14;48.95;2.57;64.73;62.26
1986;KansasCity;0.00;0.57;0.90;3.51;5.07;0.39;0.57;0.81;8.02;0.99;;0.67;;0.35;0.84;0.84;1.03;0.78;0.32;0.79;-0.01;0.14;-0.09;0.18;17.45;-0.36;12.15;5.66;40.97;12.53;19.35;3.17;5.91;1.03;1.59;60.00;3.72;85.13;81.09
1987;KansasCity;0.00;0.42;-0.47;1.80;1.85;-0.02;0.16;0.78;1.86;1.20;;0.89;;0.23;0.29;0.77;0.97;0.42;0.22;0.61;0.01;0.01;-0.10;-0.07;12.88;0.03;8.61;4.25;26.68;10.74;8.05;3.47;4.42;0.99;-0.27;39.29;3.01;52.59;41.99
1991;NEWaterbury;0.00;0.02;0.53;0.21;0.62;-0.01;0.38;0.78;0.38;0.16;0.64;0.89;1.63;0.70;0.82;0.32;0.18;0.82;0.89;0.58;0.13;0.41;0.14;-0.03;9.84;-0.06;9.66;0.24;16.78;11.42;2.09;3.41;-0.14;0.67;1.90;28.52;3.25;38.58;26.75
2013;WesternCanada;0.00;0.49;0.75;2.85;4.12;0.50;0.48;0.64;-12.18;1.14;0.06;0.59;2.80;0.02;0.64;0.67;1.08;0.74;-0.03;0.69;0.46;0.58;-0.02;-0.10;14.38;-0.22;9.68;4.92;37.47;10.77;15.76;4.30;6.64;1.30;2.42;54.28;3.12;74.95;76.28
2035;Sacramento;0.00;0.14;1.11;0.90;2.18;0.21;0.52;0.82;;1.85;0.69;;16.11;0.38;1.01;-3.44;0.90;0.63;0.32;0.85;0.25;0.32;-0.04;-0.22;8.24;-0.11;6.98;1.37;22.95;14.08;6.71;5.61;-3.45;0.89;0.52;31.71;3.51;47.30;47.18
2046;PNWAuburn;0.00;0.34;3.66;0.28;4.38;0.21;0.46;0.68;608.50;1.01;0.74;0.75;-0.69;-0.09;0.73;0.84;1.02;0.74;-0.17;0.67;0.10;0.40;-0.10;0.23;16.44;-0.19;13.24;3.40;21.85;8.08;8.75;5.80;-0.77;1.11;3.13;41.43;2.94;62.48;55.87
2052;Minnesota10000Lakes;0.10;0.73;1.00;4.04;5.82;0.25;0.66;0.91;;1.70;0.48;1.18;;-1.18;0.90;454.44;1.61;0.89;-0.60;0.74;-0.01;0.70;0.04;-0.06;12.52;-0.03;4.76;7.79;41.71;15.34;22.18;3.03;1.16;0.68;3.19;57.41;3.54;84.46;76.99
2054;MIStateChampionship;-0.08;0.58;0.00;4.11;4.58;0.17;0.27;0.65;;0.60;0.65;0.66;;-0.07;0.75;0.83;0.65;0.65;-0.19;0.71;-0.22;-0.04;0.03;0.00;13.78;0.16;8.25;5.37;34.80;8.32;20.55;3.73;2.20;0.89;-0.19;48.38;2.49;68.91;58.02
2056;TorontoEast;0.08;0.89;-0.12;6.32;7.18;0.39;0.62;0.76;;0.95;0.52;1.07;-0.43;0.27;1.02;0.87;1.00;0.83;-0.02;0.92;-0.06;1.22;-0.03;-0.12;20.66;-0.74;12.14;9.25;50.98;11.35;31.33;3.84;4.45;1.07;5.46;77.16;3.48;108.32;99.25
2064;NEDistrictChampionship;0.22;-0.07;2.98;0.26;3.03;0.24;0.34;0.66;;0.65;0.67;0.70;;-0.27;0.78;0.67;0.72;0.68;-0.19;0.70;0.41;0.17;0.36;0.26;11.09;-0.01;10.65;0.44;27.03;7.56;7.23;0.07;12.17;0.82;2.17;40.28;2.58;56.20;53.02
2067;NEDistrictChampionship;0.03;0.59;0.38;2.41;3.34;0.09;0.28;0.68;;0.68;0.67;0.65;;0.29;0.67;0.67;0.67;0.68;0.29;0.67;0.05;0.79;0.07;0.16;18.72;-0.43;13.08;6.07;24.91;8.38;12.80;5.22;-1.48;0.94;4.75;48.37;2.98;66.28;56.09
2080;Bayou;-0.08;-0.01;-0.51;0.43;-0.15;-0.05;0.45;0.80;;0.39;1.14;0.73;;1.09;0.21;-1.36;0.34;0.71;0.87;0.35;0.33;0.22;-0.02;0.07;1.35;1.55;0.27;-0.47;20.55;15.21;1.15;3.81;0.38;0.79;1.49;23.40;3.07;30.60;31.07
2081;CentralIllinois;0.06;0.08;0.74;0.24;1.24;0.13;0.23;0.76;0.76;0.53;0.81;0.71;;1.19;0.78;0.46;0.45;0.86;0.63;0.70;0.39;-0.10;-0.13;0.05;8.77;-0.16;7.86;1.06;30.80;13.09;2.67;3.35;11.68;1.45;-0.29;39.28;3.40;51.67;47.18
2102;SanDiego;0.00;0.00;0.09;1.66;1.75;-0.01;0.31;0.74;0.51;0.79;0.69;1.06;0.00;0.48;0.59;1.62;0.56;0.86;0.60;0.52;-0.25;0.08;-0.01;0.05;6.99;0.69;6.34;-0.05;27.51;13.23;8.47;4.27;1.54;0.96;0.69;35.18;3.28;48.86;27.63
2122;ArizonaNorth;0.27;0.06;6.56;-0.54;6.28;0.43;0.54;0.82;;0.58;0.74;0.94;0.82;0.11;0.86;0.88;0.81;0.82;-0.08;0.88;-0.08;1.22;0.07;-0.03;14.04;0.04;12.08;1.92;27.80;10.22;10.42;6.26;0.91;1.31;5.98;47.82;3.25;75.56;69.25
2137;MIMarysville;0.57;0.02;1.63;0.50;2.79;0.15;0.51;0.72;;0.98;0.84;0.83;0.64;1.61;0.62;0.67;0.96;0.79;1.10;0.67;0.06;0.47;-0.08;0.44;13.79;-0.20;10.99;3.00;27.09;15.68;5.75;4.88;0.78;1.03;4.52;45.40;4.23;64.72;59.49
2147;PNWDistrictChampionship;-0.03;0.04;3.25;0.07;3.34;0.08;0.34;0.69;;0.75;0.67;0.65;;0.17;0.66;;0.73;0.67;0.17;0.67;0.40;0.69;-0.01;0.04;14.21;-0.75;14.68;0.27;18.99;7.33;6.83;2.35;2.48;0.63;3.64;36.84;2.93;54.62;45.63
2168;NEDistrictChampionship;0.09;0.01;1.84;2.80;4.63;0.10;0.33;0.65;;0.65;0.67;0.65;;-0.02;0.67;0.67;0.64;0.66;0.00;0.70;0.16;0.63;0.12;0.09;11.12;-0.19;10.75;0.56;31.16;7.82;17.68;3.08;2.57;0.79;3.60;45.88;2.64;66.93;54.90
2175;MinnesotaNorthStar;0.00;0.23;0.80;2.66;3.74;0.39;0.44;0.72;;0.43;-0.68;0.81;;0.91;0.34;;0.88;0.57;0.40;0.59;-0.29;-0.09;-0.05;0.17;9.90;0.69;6.95;2.25;32.06;12.35;14.93;7.00;-2.22;1.25;0.40;42.36;3.16;61.96;60.93
2194;MinnesotaNorthStar;0.00;0.07;3.28;0.89;4.26;0.09;0.47;0.75;;0.61;1.66;1.00;;-0.10;0.86;;0.77;0.91;-0.05;0.85;-0.55;0.06;-0.03;0.09;8.42;0.42;7.27;0.72;30.93;12.55;10.99;2.69;4.71;0.85;0.76;40.11;3.24;61.53;51.70
